species,english_name,order,family
Aethusa cynapium,Fool's Parsley,Apiales,Apiaceae
Silene latifolia,White Campion,Caryophyllales,Caryophyllaceae
Papaver rhoeas,Common Poppy,Ranunculales,Papaveraceae
Cichorium intybus,Chicory,Asterales,Asteraceae
Narthecium ossifragum,Bog Asphodel,Dioscoreales,Nartheciaceae
Galium verum,Lady's Bedstraw,Gentianales,Rubiaceae
Veronica serpyllifolia,Thyme-leaved Speedwell,Lamiales,Plantaginaceae
Crepis capillaris,Smooth Hawk's-beard,Asterales,Asteraceae
Plantago major,Greater Plantain,Lamiales,Plantaginaceae
Verbena x,Hybrid Verbena,Lamiales,Verbenaceae
Epilobium hirsutum,Great Willowherb,Myrtales,Onagraceae
Persicaria maculosa,Redshank,Caryophyllales,Polygonaceae
Picris echioides,Bristly Oxtongue,Asterales,Asteraceae
Jacobaea vulgaris,Common Ragwort,Asterales,Asteraceae
Sinapis arvensis,Charlock,Brassicales,Brassicaceae
Capsella bursa,Shepherd's-purse,Brassicales,Brassicaceae
Rumex crispus,Curled Dock,Caryophyllales,Polygonaceae
Geranium dissectum,Cut-leaved Crane's-bill,Geraniales,Geraniaceae
Lactuca serriola,Prickly Lettuce,Asterales,Asteraceae
Veronica persica,Common Field-speedwell,Lamiales,Plantaginaceae
Convolvulus arvensis,Field Bindweed,Solanales,Convolvulaceae
Viola arvensis,Field Pansy,Malpighiales,Violaceae
Anchusa arvensis,Bugloss,NA,Boraginaceae
Rumex acetosella,Sheep's Sorrel,Caryophyllales,Polygonaceae
Erica cinerea,Bell Heather,Ericales,Ericaceae
Lysimachia nemorum,Yellow Pimpernel,Ericales,Primulaceae
Medicago lupulina,Black Medick,Fabales,Fabaceae
Luzula campestris,Field Wood-rush,Poales,Juncaceae
Glechoma hederacea,Ground-ivy,Lamiales,Lamiaceae
Sagina saginoides,Scottish Pearlwort,Caryophyllales,Caryophyllaceae
Lonicera periclymenum,Honeysuckle,Dipsacales,Caprifoliaceae
Ballota nigra,Black Horehound,Lamiales,Lamiaceae
Mentha aquatica,Water Mint,Lamiales,Lamiaceae
Solanum dulcamara,Bittersweet,Solanales,Solanaceae
Achillea millefolium,Yarrow,Asterales,Asteraceae
Calystegia sepium,Hedge Bindweed,Solanales,Convolvulaceae
Centaurea cyanus,Cornflower,Asterales,Asteraceae
Daucus carota,Wild Carrot,Apiales,Apiaceae
Sonchus arvensis,Perennial Sow-thistle,Asterales,Asteraceae
Matricaria discoidea,Pineappleweed,Asterales,Asteraceae
Ulex gallii,Western Gorse,Fabales,Fabaceae
Leontodon hispidus,Rough Hawkbit,Asterales,Asteraceae
Epilobium montanum,Broad-leaved Willowherb,Myrtales,Onagraceae
Buddleja davidii,Butterfly-bush,Lamiales,Scrophulariaceae
Chamaemelum nobile,Chamomile,Asterales,Asteraceae
Artemisia vulgaris,Mugwort,Asterales,Asteraceae
Lythrum salicaria,Purple-loosestrife,Myrtales,Lythraceae
Vicia sativa,Common Vetch,Fabales,Fabaceae
Tripleurospermum inodorum,Scentless Mayweed,Asterales,Asteraceae
Pedicularis sylvatica,Lousewort,Lamiales,Orobanchaceae
Lotus pedunculatus,Greater Bird's-foot-trefoil,Fabales,Fabaceae
Pulicaria dysenterica,Common Fleabane,Asterales,Asteraceae
Hypericum forrestii,Forrest's Tutsan,Malpighiales,Hypericaceae
Geum urbanum,Herb Bennet,Rosales,Rosaceae
Stachys sylvatica,Hedge Woundwort,Lamiales,Lamiaceae
Thymus vulgaris,Garden Thyme,Lamiales,Lamiaceae
Conopodium majus,Pignut,Apiales,Apiaceae
Pilosella officinarum,Mouse-ear-hawkweed,Asterales,Asteraceae
Galeopsis tetrahit,Common Hemp-nettle,Lamiales,Lamiaceae
Circaea lutetiana,Enchanter's-nightshade,Myrtales,Onagraceae
Clematis vitalba,Traveller's-joy,Ranunculales,Ranunculaceae
Impatiens parviflora,Small Balsam,Ericales,Balsaminaceae
Plantago maritima,Sea Plantain,Lamiales,Plantaginaceae
Atriplex portulacoides,Sea-purslane,Caryophyllales,Amaranthaceae
Tragopogon pratensis,Goat's-beard,Asterales,Asteraceae
Epilobium parviflorum,Hoary Willowherb,Myrtales,Onagraceae
Taraxacum agg,NA,Asterales,Asteraceae
Polygala vulgaris,Common Milkwort,Fabales,Polygalaceae
Vaccinium oxycoccos,Cranberry,Ericales,Ericaceae
Rumex sanguineus,Wood Dock,Caryophyllales,Polygonaceae
Spergula arvensis,Corn Spurrey,Caryophyllales,Caryophyllaceae
Linum usitatissimum,Flax,Malpighiales,Linaceae
Lamium purpureum,Red Dead-nettle,Lamiales,Lamiaceae
Geranium pratense,Meadow Crane's-bill,Geraniales,Geraniaceae
Lathyrus aphaca,Yellow Vetchling,Fabales,Fabaceae
Tripleurospermum maritimum,Mayweed,Asterales,Asteraceae
Stellaria media,Common Chickweed,Caryophyllales,Caryophyllaceae
Polygonum aviculare,Knotgrass,Caryophyllales,Polygonaceae
Rhinanthus minor,Yellow-rattle,Lamiales,Orobanchaceae
Valeriana officinalis,Common Valerian,Dipsacales,Caprifoliaceae
Apium nodiflorum,Fool's-water-cress,Apiales,Apiaceae
Hyacinthoides non,Bluebell,Asparagales,Asparagaceae
Caltha palustris,Marsh-marigold,Ranunculales,Ranunculaceae
Digitalis ferruginea,Rusty Foxglove,Lamiales,Plantaginaceae
Veronica officinalis,Heath Speedwell,Lamiales,Plantaginaceae
Trifolium dubium,Lesser Trefoil,Fabales,Fabaceae
Myosotis discolor,Changing Forget-me-not,NA,Boraginaceae
Sambucus nigra,Elder,Dipsacales,Adoxaceae
Heracleum mantegazzianum,Giant Hogweed,Apiales,Apiaceae
Drosera rotundifolia,Round-leaved Sundew,Caryophyllales,Droseraceae
Vicia hirsuta,Hairy Tare,Fabales,Fabaceae
Sherardia arvensis,Field Madder,Gentianales,Rubiaceae
Galium mollugo,Hedge Bedstraw,Gentianales,Rubiaceae
Vicia tetrasperma,Smooth Tare,Fabales,Fabaceae
Rumex acetosa,Common Sorrel,Caryophyllales,Polygonaceae
Lotus angustissimus,Slender Bird's-foot-trefoil,Fabales,Fabaceae
Prunella vulgaris,Hybrid Self-Heal,Lamiales,Lamiaceae
Polygala serpyllifolia,Heath Milkwort,Fabales,Polygalaceae
Chaerophyllum temulum,Rough Chervil,Apiales,Apiaceae
Rosa canina,NA,Rosales,Rosaceae
Vicia cracca,Tufted Vetch,Fabales,Fabaceae
Centaurea scabiosa,Greater Knapweed,Asterales,Asteraceae
Brassica napus,Rape,Brassicales,Brassicaceae
Lathyrus linifolius,Bitter-vetch,Fabales,Fabaceae
Trientalis europaea,Chickweed-wintergreen,Ericales,Primulaceae
Cardamine flexuosa,Wavy Bitter-cress,Brassicales,Brassicaceae
Oenanthe crocata,Hemlock Water-dropwort,Apiales,Apiaceae
Trifolium constantinopolitanum,Clover,Fabales,Fabaceae
Cotoneaster salicifolius,Willow-leaved Cotoneaster,Rosales,Rosaceae
Leucanthemum vulgare,Oxeye Daisy,Asterales,Asteraceae
Veronica hederifolia,Ivy-leaved Speedwell,Lamiales,Plantaginaceae
Stellaria holostea,Greater Stitchwort,Caryophyllales,Caryophyllaceae
Ranunculus bulbosus,Bulbous Buttercup,Ranunculales,Ranunculaceae
