sciname,FE
Oratosquilla oratoria,1.2
Oratosquilla oratoria,3
Ostrea chilensis,9.4
Ostrea edulis,11.24
Ostrea edulis,1.7316
Ostrea edulis,4.0374
Ostrea edulis,1.349
Ostrea edulis,7.3
Ostrea edulis,2.1565
Ostrea edulis,3.9096
Ostrea edulis,5.2411
Ostrea edulis,5.7
Ostrea edulis,5.8
Ostrea edulis,2.1842
Ostrea lurida,10.3
Pachymelania aurita,12.6
Pachymelania aurita,15.26
Palaemon longirostris,0.0956
Palaemon serratus,6.31
Palaemonidae/penaeidae spp.,5.5
Palaemonidae/penaeidae spp.,25.3
Palinurus vulgaris,0.6
Palinurus vulgaris,0.932
Pandalus borealis,0.2
Pandalus borealis,0.3
Pandalus borealis,0.63
Pandalus borealis,1.166666667
Pandalus eous,0.1
Pandalus jordani,0.32
Pandalus jordani,0.37
Panulirus japonicus,2
Panulirus japonicus,0.1
Panulirus marginatus,10.6
Paphies australis,6
Paralithodes camtschatica,0.59
Paralithodes camtschatica,0.39
Paralithodes camtschatica,0.76
Paralithodes camtschaticus,0.6
Paralithodes camtschaticus,0.2
Paralithodes camtschaticus,0.7
Paralithodes camtschaticus,0.3
Paralithodes camtschaticus,0.5
Paralithodes camtschaticus,2.1
Paralithodes camtschaticus,2.6
Parapenaeus longirostris,7.7
Parapenaeus longirostris,5.6
Parapenaeus longirostris,8.2588
Parastichopus californicus,2.46
Parastichopus californicus,0.6
Parastichopus californicus,18.42
Parastichopus regalis,36.9
Paroctopus dofleini,1
Paroctopus dofleini,3
Paroctopus dofleini,0.2
Patinopecten yessoensis,1
Patinopecten yessoensis,2.1
Patinopecten yessoensis,1.1
Pecten albicans,2
Pecten maximus,1.3
Pecten maximus,1.1
Pecten maximus,0.7
Pecten novaezelandiae,0.8
Pecten novaezelandiae,1.3
Pecten novaezelandiae,0.3
Pecten novaezelandiae,2
Pecten novaezelandiae,2.5
"Penaeidae, pandalidae",1.26
"Penaeidae, pandalidae",2.13
"Penaeidae, pandalidae",0.21
"Penaeidae, pandalidae",0.52
"Penaeidae, pandalidae",0.51
"Penaeidae, pandalidae",0.32
Penaeus chinensis,0.1
Penaeus chinensis,4.6
Penaeus chinensis,1.4
Penaeus esculentus,0.3
Penaeus esculentus,0.27
Penaeus indicus,0.211
Penaeus indicus,5.3
Penaeus indicus,0.5
Penaeus indicus,10.81
Penaeus kerathurus,0.683
Penaeus kerathurus,1.63
Penaeus merguiensis,1.6
Penaeus merguiensis,0.14
Penaeus merguiensis,0.2
Penaeus merguiensis,0.1
Penaeus merguiensis,0.21
Penaeus monodon,16.41
Penaeus monodon,3.1
Penaeus monodon,3
Penaeus monodon,0.39
Penaeus monodon,2.6
Penaeus monodon,0.2
Penaeus monodon,2.2
Penaeus monodon,0.6
Penaeus monodon,2.1
Penaeus monodon,0.9
Penaeus monodon,0.01011
Penaeus monodon,3.07
Penaeus monodon,1.28
Penaeus monodon,3.7
Penaeus notialis,0.181
Penaeus penicillatus,0.01024
Penaeus semisulcatus,0.4
Penaeus semisulcatus,1.5
Penaeus semisulcatus,1.46
Penaeus semisulcatus,0.9
Penaeus semisulcatus,1.4
Penaeus semisulcatus,1.8
Penaeus semisulcatus,1.51
Penaeus semisulcatus,1.58
Penaeus semisulcatus,1.36
"Penaeus spp., Metapenaeus spp. and Parapenaeopsis spp.",0.6
Penaeus vannamei,0.5
Penaeus vannamei,1.4
Penaeus vannamei,1.22
Periphylla periphylla,0.04
Perna canaliculus,6.9
Perna canaliculus,4.3
Perna canaliculus,5.3
