Genus,Species,Clade,Higher Group,Order,Family,Extinct,Shape,Habitat,Total Length (cm),Fork Length (cm),Precaudal Length (cm),Head Length (cm),Snout Length (cm),OOL (cm),Head Height (cm),Mouth Width (cm),Dorsoventral Body Height (cm),Mediolateral Body Width (cm),Girth (cm),Prepectoral Length (cm),Prepelvic Length (cm),Bill Length (cm),Body Mass (g),Presence of Swimbladder,Presence of Heterocercal Caudal Fin,Specimen,Ontogenetic Status,Gender,Length As,N,drop,Reference,Weight Reference,Method of Measurement,Is Body Mass Estimated,Notes
Cetorhinus,maximus,Chondrichthyes,Chondrichthyes,Lamniformes,Cetorhinidae,0,fusiform,pelagic,871,,,195.104,46.163,148.941,,,,,,,,,,0,TRUE,,,,total length,1,,"Matthews and Parker 1950, Ahnelt et al. 2020",,reported measurements,,
Cetorhinus,maximus,Chondrichthyes,Chondrichthyes,Lamniformes,Cetorhinidae,0,fusiform,pelagic,871,736,,187.265,41.808,145.457,,,,,,,,,,0,TRUE,,,,total length,1,,"Matthews and Parker 1950, Ahnelt et al. 2020",,reported measurements,,
Cetorhinus,maximus,Chondrichthyes,Chondrichthyes,Lamniformes,Cetorhinidae,0,fusiform,pelagic,434,378.2,344,103.899,21.186,82.713,65.6,,61.6,,,94.637,233.63,,,0,TRUE,,,,total length,1,,Gudger 1948,,measured from figure/photo,,
Cetorhinus,maximus,Chondrichthyes,Chondrichthyes,Lamniformes,Cetorhinidae,0,fusiform,pelagic,828.5,,685.998,185.584,38.9395,146.6445,,,,,233.637,185.584,436.6195,,1980000,0,TRUE,,,,total length,1,,Springer and Gilbert 1976,Springer and Gilbert 1976,reported measurements,FALSE,"Weight is unreliable, authors noted it was extremely emaciated and likely underweight"
Cetorhinus,maximus,Chondrichthyes,Chondrichthyes,Lamniformes,Cetorhinidae,0,fusiform,pelagic,846,752.094,681.03,182.736,43.992,138.744,,,,,,182.736,,,,0,TRUE,,,,total length,1,,Springer and Gilbert 1976,,reported measurements,,
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,123.6,109.54,100.5,25.9,9.4,16.5,16.82,8.3,23.41,,,33.6,74.1,,14000,0,TRUE,,juvenile,male,total length,1,,Kabaskal and Kabaskal 2013,Kabaskal and Kabaskal 2013,mixed,FALSE,
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,189,,166.887,57.078,12.663,44.415,,14.553,25.326,29.106,,57.078,,,79800,0,TRUE,,,male,total length,1,,Tibbo et al. 1963,Tibbo et al. 1963,reported measurements,FALSE,Prepectoral length used as head length because these two are frequently treated as interchangeable in studies of sharks
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,213,,175.299,59.001,15.762,43.239,,15.762,25.347,27.264,,59.001,,,74800,0,TRUE,,,female,total length,1,,Tibbo et al. 1963,Tibbo et al. 1963,reported measurements,FALSE,Prepectoral length used as head length because these two are frequently treated as interchangeable in studies of sharks
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,373,337,310,101,25,76,,25,,,238,,,,600000,0,TRUE,,,,total length,1,,Lyons et al. 2015,Lyons et al. 2015,reported measurements,FALSE,
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,70.5,63.7562,56.4705,19.8105,5.499,14.3115,,5.0055,10.7865,9.0945,,19.8105,39.2685,,2438.14764942714,0,TRUE,UMMZ 94726,juvenile,,total length,1,,Garrick 1967,Kohler et al. 1996,reported measurements,TRUE,Fork length estimated using equation of Kohler et al. 1996
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,84.7,76.94232,69.2846,22.1914,5.7596,16.4318,,5.929,11.011,9.317,,22.1914,48.4484,,4400.23336920642,0,TRUE,MCZ 35071,juvenile,,total length,1,,Garrick 1967,Kohler et al. 1996,reported measurements,TRUE,Fork length estimated using equation of Kohler et al. 1996
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,143.8,131.82258,119.6416,36.9566,9.4908,27.4658,,11.0726,18.5502,17.975,,36.9566,82.5412,,23869.7797546288,0,TRUE,,,,total length,1,,Garrick 1967,Kohler et al. 1996,reported measurements,TRUE,Fork length estimated using equation of Kohler et al. 1996
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,192,176.5811,156.672,48.768,13.056,35.712,,12.48,,,,48.768,109.824,,,0,TRUE,USNM 197686,,,total length,1,,Garrick 1967,,reported measurements,,Fork length estimated using equation of Kohler et al. 1996
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,336.5,299,283.5,80.95,22.7,58.25,48.47,27,60.1,51.2,,67.69,202.57,,385553.5145,0,TRUE,LACMVP F1059,,,total length,1,,"Applegate 1966, Applegate 1977",Applegate 1966,reported measurements,FALSE,
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,350.7,304.73,293.9,94.09,21.7,72.39,52.56,26.8,81.02,40.8,,81.51,204.07,,468000,0,TRUE,LACM 32667,,,total length,1,,Applegate 1977,Applegate 1977,mixed,FALSE,
Isurus,oxyrinchus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,200,184.0099,158.4,50.6,12.4,38.2,,13,23.2,22,,50.6,110.2,,68042.9520585271,0,TRUE,USNM 197706,,,total length,1,,Garrick 1967,Kohler et al. 1996,reported measurements,TRUE,Fork length estimated using equation of Kohler et al. 1996
Isurus,paucus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,333,297,277,76,12.3,63.7,36.162,24.9893815352193,,,,78.8,193.5,,315000,0,TRUE,,,,total length,1,,Mignucci-Giannoni et al. 2020,Mignucci-Giannoni et al. 2020,mixed,FALSE,
Isurus,paucus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,123.3,,97.0371,31.3182,7.6446,23.6736,,9.7407,13.563,12.9465,,31.3182,67.9383,,27514.3418337849,0,TRUE,USNM 197427,,,total length,1,,Garrick 1967,,reported measurements,TRUE,
Isurus,paucus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,137.2,,108.1136,34.986,8.232,26.754,,10.1528,,14.5432,,34.986,76.4204,,,0,TRUE,USNM 197429,,,total length,1,,Garrick 1967,,mixed,,
Lamna,ditropis,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,226,,178.088,61.02,11.074,49.946,,,,,,,,,,0,TRUE,,,,total length,1,,Nakaya 1971,,reported measurements,,
Lamna,ditropis,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,183,,142.008,49.959,8.418,41.541,,15.006,,,,,,,,0,TRUE,,,,total length,1,,Nakaya 1971,,reported measurements,,
Lamna,ditropis,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,200,,148,53,10,43,,16,,,,,,,,0,TRUE,,,,total length,1,,Nakaya 1971,,reported measurements,,
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,100.6,88.9304,79.2728,29.4758,8.048,21.4278,,9.8588,,,,29.4758,,,,0,TRUE,,,,total length,7,,McKenzie and Tibbo 1964,,reported measurements,,"Some of the specimens in this study had recorded weight, but data were not matched to length measurements. Prepectoral length used as head length"
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,157,137.061,126.542,46.001,10.99,35.011,,13.973,,,,46.001,,,,0,TRUE,,,,total length,6,,McKenzie and Tibbo 1964,,reported measurements,,"Some of the specimens in this study had recorded weight, but data were not matched to length measurements. Prepectoral length used as head length"
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,202.5,177.39,158.9625,56.4975,12.96,43.5375,,17.6175,,,,56.4975,,,,0,TRUE,,,,total length,11,,McKenzie and Tibbo 1964,,reported measurements,,"Some of the specimens in this study had recorded weight, but data were not matched to length measurements. Prepectoral length used as head length"
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,75.6,68.82,63.747,22.356,6.642,15.714,12.35,7.776,17.09,,,20.8656,42.1848,,4700,0,TRUE,,subadult,,total length,1,,Stevens et al. 1983,Stevens et al. 1983,mixed,FALSE,
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,159.4,,126.5636,39.5312,11.955,27.5762,,13.8678,,,,39.5312,87.0324,,44000,0,TRUE,,adult,,total length,1,,Stevens et al. 1983,Stevens et al. 1983,reported measurements,FALSE,
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,103.8,92.4,76,28,7.4,20.6,15,9.12,15.3,,,,,,8540,0,TRUE,,juvenile,,total length,1,,Lipej et al. 2016,Lipej et al. 2016,reported measurements,FALSE,
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,172.1,,135.4427,47.4996,12.047,35.4526,,15.1448,,,,47.4996,96.5481,,55000,0,TRUE,,adult,,total length,1,,Stevens et al. 1983,Stevens et al. 1983,reported measurements,FALSE,
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,150,136,135,41,12,29,,,32,,,43,,,60000,0,TRUE,,subadult,,total length,1,,Scacco et al. 2012,Scacco et al. 2012,reported measurements,FALSE,
Lamna,nasus,Chondrichthyes,Chondrichthyes,Lamniformes,Lamnidae,0,fusiform,pelagic,200,182,180,53,18,35,,,40,,,55,,,120000,0,TRUE,,,,total length,1,,Scacco et al. 2012,Scacco et al. 2012,reported measurements,FALSE,
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,544,452.768,392.768,156,46,110,84,70,82,,,157,,,1040000,0,TRUE,,,,total length,1,,Yano et al. 1997,Yano et al. 1997,reported measurements,FALSE,
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,487,,339,132,24,108,,93,,,222,127,254,,807000,0,TRUE,NMMBP8950,,,total length,1,,Lee and Shao 2009,Lee and Shao 2009,reported measurements,FALSE,
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,483,,323.5,126,24,102,,73,,,208.9,128.3,241.5,,689000,0,TRUE,ASIZP0071582,,,total length,1,,Lee and Shao 2009,Lee and Shao 2009,reported measurements,FALSE,
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,366.7,291.175820895522,253.6,93.2,19.7,73.5,,53.6,63.1543520309478,,,89.7,191.1,,361000,0,TRUE,,,,total length,1,,Sawamoto and Matsumoto 2012,Sawamoto and Matsumoto 2012,mixed,FALSE,
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,446,,309,118,24,94,,82.7,,,180,111,227,,750000,0,TRUE,BPBM 22730,,,total length,1,,"Taylor et al. 1983, Berra and Hutchins 1990",Berra and Hutchins 1990,mixed,FALSE,Holotype. Compared to other megamouths the mouth length of the holotype appears to be a lapsus (it is far too small compared to other specimens of its size). Remeasuring from published photos suggests a mouth length of ~38 cm
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,515,391,343,132,35,97,,58,64,,179,139,251,,690000,0,TRUE,WAM P.29940-001,,,total length,1,,Berra and Hutchins 1990,Berra and Hutchins 1990,reported measurements,FALSE,
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,176.7,,114.4,43,9.22,33.78,,23.1,,,,42.5,83.7,,13820,0,TRUE,,juvenile,,total length,1,,White et al. 2004,White et al. 2004,reported measurements,FALSE,
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,190,144.8,122.93,46.17,8.93,37.24,,22.04,,,,45.22,87.21,,24400,0,TRUE,,juvenile,,total length,1,,"Amorim et al. 2000, White et al. 2004",Amorim et al. 2000,reported measurements,FALSE,
Megachasma,pelagios,Chondrichthyes,Chondrichthyes,Lamniformes,Megachasmatidae,0,fusiform,pelagic,226.5,,145,57.5,11,46.5,,27.9,,,73.9,55,102,,27000,0,TRUE,SIO 07-53,juvenile,,total length,1,,Castillo-Géniz et al. 2012,Castillo-Géniz et al. 2012,reported measurements,FALSE,
Mitsukurina,owstoni,Chondrichthyes,Chondrichthyes,Lamniformes,Mitsukurinidae,0,fusiform,demersal,128,,84,36.2,19.2,17,,7.3,,,26.5,35.5,56,,3436.47754856401,0,TRUE,,,,total length,1,,Lee and Shao 2009,Yano et al. 2007,reported measurements,TRUE,
Mitsukurina,owstoni,Chondrichthyes,Chondrichthyes,Lamniformes,Mitsukurinidae,0,fusiform,demersal,110,,73,31,15.8,15.2,,8,,,22.8,30.8,48.2,,1901.21484935817,0,TRUE,,,,total length,1,,Lee and Shao 2009,Yano et al. 2007,reported measurements,TRUE,
Mitsukurina,owstoni,Chondrichthyes,Chondrichthyes,Lamniformes,Mitsukurinidae,0,fusiform,demersal,312.5,,202.1,76,38.8,37.2,,21.5,46.72,,,77.2,149.4,,99000,0,TRUE,,adult,male,total length,1,,Rincon et al. 2012,Rincon et al. 2012,mixed,FALSE,
Mitsukurina,owstoni,Chondrichthyes,Chondrichthyes,Lamniformes,Mitsukurinidae,0,fusiform,demersal,126,,80.892,36.036,19.026,17.01,13.734,9.072,15.12,,,36.54,55.818,,,0,TRUE,NMNZ P.31109,,,total length,1,,Duffy 1997,,reported measurements,,
Mitsukurina,owstoni,Chondrichthyes,Chondrichthyes,Lamniformes,Mitsukurinidae,0,fusiform,demersal,128,,85.376,33.92,17.408,16.512,12.8,8.192,13.312,,,34.944,56.064,,,0,TRUE,KA518,,,total length,1,,Duffy 1997,,reported measurements,,
Mitsukurina,owstoni,Chondrichthyes,Chondrichthyes,Lamniformes,Mitsukurinidae,0,fusiform,demersal,135,,88.02,35.775,18.63,17.145,14.985,14.985,15.525,,,35.505,58.995,,,0,TRUE,NMNZ P.27930,,,total length,1,,Duffy 1997,,reported measurements,,
Odontaspis,ferox,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,366,314.4,274.866,94.7,22.326,72.374,36.4,30.012,67.3,,,91.54,,,289000,0,TRUE,,,,total length,1,,Bonfil 1995,Bonfil 1995,mixed,FALSE,
Odontaspis,ferox,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,212,,157.3,53.2,14.37,38.83,,13.08,,,,,,,,0,TRUE,,,,total length,1,,Anguila et al. 2016a,,mixed,,
Odontaspis,ferox,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,262,225,192,73.791,18.88,54.911,27.915,20.809,54.328,,,72.31,161.521,,,0,TRUE,,adult,male,total length,1,,"Estupiñán-Montaño et al., 2016",,measured from figure/photo,,
Odontaspis,noronhai,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,216.8,164.1,159.1,50.3,15.6,34.7,,14.05,,,,51.2,115.64,,,0,TRUE,1,,,total length,1,,"Humphries et al 1989, Stone and Shimada 2019",,mixed,,
Odontaspis,noronhai,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,342,,252.054,80.37,19.494,60.876,,21.546,46.17,,,,,,,0,TRUE,,,,total length,1,,Sadowsky et al. 1984,,reported measurements,,Figure not used for remaining measurements as it is drawn from a stuffed specimen and has very unusual proportions
Odontaspis,noronhai,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,321,272,234,67,22.5,44.5,,29.5,,,,,,,182300,0,TRUE,TCWC 3922.1,,,total length,1,,Branstetter and McEachran 1986,Branstetter and McEachran 1986,reported measurements,FALSE,
Odontaspis,taurus,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,157.708,133.579,118.07,40.294,8.284,32.01,19.35,,25.91,,,39.09,82.83,,,0,TRUE,ERB 1183,,,total length,1,,"Mollen, pers. comm.",,measured from figure/photo,,Specimen collected and total length and/or weight measured via the protocol in Mollen (2019)
Odontaspis,taurus,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,105,,,26,8.1,17.9,,,,,,,,,,0,TRUE,,,,total length,1,,Radcliffe 1916,,reported measurements,,
Odontaspis,taurus,Chondrichthyes,Chondrichthyes,Lamniformes,Odontaspidae,0,fusiform,demersal,248.6,218,194,63.1,16.01,47.09,28.97,23.4,42,26.75,107,50.56,143.82,,150000,0,TRUE,ERB 1137,adult,female,total length,1,,"Mollen, pers. comm.","Mollen, pers. comm.",measured from figure/photo,FALSE,Body depth is approximate. Specimen collected and total length and/or weight measured via the protocol in Mollen (2019)
Pseudocarcharias,kamoharai,Chondrichthyes,Chondrichthyes,Lamniformes,Pseudocarchariidae,0,fusiform,pelagic,109.6,94.7,85,27.1,7.5,19.6,11.23,6.67,14.49,,,26.3,63.3,,,0,TRUE,NMNZ P.37246,,,total length,1,,Stewart 2001,,mixed,,
Pseudocarcharias,kamoharai,Chondrichthyes,Chondrichthyes,Lamniformes,Pseudocarchariidae,0,fusiform,pelagic,80.5,,65,21.2,6.5,14.7,8.85,,,,,20.1,51,,2000,0,TRUE,,,,total length,1,,Pradeep et al. 2016,Pradeep et al. 2016,mixed,FALSE,
Pseudocarcharias,kamoharai,Chondrichthyes,Chondrichthyes,Lamniformes,Pseudocarchariidae,0,fusiform,pelagic,91,77.78,70.5,21.6,6.5,15.1,10.14,,10.45,,,,,,2200,0,TRUE,,,,total length,1,,Kizhakudan and Rajapackiam 2013,Kizhakudan and Rajapackiam 2013,mixed,FALSE,
Pseudocarcharias,kamoharai,Chondrichthyes,Chondrichthyes,Lamniformes,Pseudocarchariidae,0,fusiform,pelagic,96.6,84.27,74.8,23.689,6.125,17.564,10.069,,14.124,,,22.011,58.175,,,0,TRUE,,adult,,total length,1,,Randall 1997,,measured from figure/photo,,
Chiloscyllium,griseum,Chondrichthyes,Chondrichthyes,Orectolobiformes,Hemiscyllidae,0,elongate,benthic,55,,41.25,8.701,3.377,5.324,,2.4695,,,,,,,823.933696075419,0,TRUE,,,,total length,23,,Devadoss 1986,Devadoss 1986,reported measurements,FALSE,
Chiloscyllium,griseum,Chondrichthyes,Chondrichthyes,Orectolobiformes,Hemiscyllidae,0,elongate,benthic,56,,42.5,12.5,4.35,8.15,5.9,3.55,6.4,6.8,,9.7,,,704,0,TRUE,ZMH 25675,,,total length,1,,Weigmann 2012,Weigmann 2012,reported measurements,FALSE,
Chiloscyllium,griseum,Chondrichthyes,Chondrichthyes,Orectolobiformes,Hemiscyllidae,0,elongate,benthic,59.5,,45,13,4.4,8.6,5.8,3.8,7,7,,10.9,,,774,0,TRUE,ZMH 25676,,,total length,1,,Weigmann 2012,Weigmann 2012,reported measurements,FALSE,
Chiloscyllium,punctatum,Chondrichthyes,Chondrichthyes,Orectolobiformes,Hemiscyllidae,0,elongate,benthic,56,,42.2,11.5,4.3,7.2,5.55,3.4,6.25,6.5,,8.9,,,599,0,TRUE,ZMH 25677,,,total length,1,,Weigmann 2012,Weigmann 2012,reported measurements,FALSE,
Chiloscyllium,punctatum,Chondrichthyes,Chondrichthyes,Orectolobiformes,Hemiscyllidae,0,elongate,benthic,61.7,,49.5,12.1,4.5,7.6,5.4,2.8,5.8,6.1,,10.8,,,670,0,TRUE,ZMH 25678,,,total length,1,,Weigmann 2012,Weigmann 2012,reported measurements,FALSE,
Ginglymostoma,unami,Chondrichthyes,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,0,fusiform,benthic,207.5,,170.69,38.12,15.5,22.62,,17.5,37.9,39.2,,47.1,101.4,,50046.2608008521,0,TRUE,UCR 3011-01,adult,male,total length,1,,Fernando Del Moral-Flores et al. 2015,Castro 2000,mixed,TRUE,"Length-weight equation for Ginglymostoma cirratum used, as no equations could be located for G. unami"
Ginglymostoma,unami,Chondrichthyes,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,0,fusiform,benthic,155.7,,111.47,25.67,9.5,16.17,18.24,13.7,23.9,25.5,,23.4,61.8,,21691.2257274101,0,TRUE,CNPE-IBUNAM 18850,subadult,male,total length,1,,Fernando Del Moral-Flores et al. 2015,Castro 2000,mixed,TRUE,"Length-weight equation for Ginglymostoma cirratum used, as no equations could be located for G. unami"
Hemiscyllium,halmahera,Chondrichthyes,Chondrichthyes,Orectolobiformes,Hemiscyllidae,0,elongate,benthic,68.1,,53.3904,11.2365,3.9498,7.2867,,3.3369,3.5412,,,7.7,19.749,,,0,TRUE,MZB 21248,,,total length,1,,Allen et al. 2013,,mixed,,
Hemiscyllium,halmahera,Chondrichthyes,Chondrichthyes,Orectolobiformes,Hemiscyllidae,0,elongate,benthic,65.6,,50.184,11.0208,3.8048,7.216,,2.7552,3.4768,,,,20.4672,,,0,TRUE,WAM P.33784,,,total length,1,,Allen et al. 2013,,mixed,,
Nebrius,ferrugineus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,0,fusiform,benthic,226,,160,55.9,17.8,38.1,,18.7826086956522,,,,40.6,96.5,,,0,TRUE,,,,total length,1,,Schultz et al. 1953,,reported measurements,,"Length-weight equation for Ginglymostoma cirratum used, as no equations could be located for N. ferrugineus"
Nebrius,ferrugineus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,0,fusiform,benthic,290.4,,257.2944,55.4664,18.2952,37.1712,,20.6184,,,,,,,,0,TRUE,,,,total length,1,,Taniuchi and Yanagisawa 1987,,reported measurements,,albino
Nebrius,ferrugineus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,0,fusiform,benthic,304.5,,206.451,61.2045,17.661,43.5435,,19.488,,,,56.9415,122.1045,,,0,TRUE,,,,total length,1,,Yoshino et al. 1981,,reported measurements,,"Length-weight equation for Ginglymostoma cirratum used, as no equations could be located for N. ferrugineus"
Nebrius,ferrugineus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,0,fusiform,benthic,281,,190.518,63.787,16.298,47.489,,19.389,,,,53.109,123.078,,,0,TRUE,,,,total length,1,,Yoshino et al. 1981,,mixed,,"Jaw length measured from photos. Length-weight equation for Ginglymostoma cirratum used, as no equations could be located for N. ferrugineus"
Nebrius,ferrugineus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,0,fusiform,benthic,164,,111.192,30.504,9.02,21.484,,,,,,29.684,65.6,,,0,TRUE,,,,total length,1,,Yoshino et al. 1981,,reported measurements,,"Length-weight equation for Ginglymostoma cirratum used, as no equations could be located for N. ferrugineus"
Orectolobus,hutchinsi,Chondrichthyes,Chondrichthyes,Orectolobiformes,Orectolobidae,0,flattened,benthic,132.5,,107.06,28.7525,6.625,22.1275,9.01,11.925,14.575,24.5125,,24.2475,61.215,,15000,0,TRUE,CSIRO H 5275-01,,,total length,1,,Last et al. 2006,Last et al. 2006,reported measurements,FALSE,"Holotype. Three other adult paratypes were reported, but only as ranges so proportions cannot easily be calculated."
Orectolobus,japonicus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Orectolobidae,0,flattened,benthic,75.3,,58.8846,16.0389,4.8192,9.4878,4.8192,8.0571,6.6264,11.3703,,14.9094,32.8308,,2935.91766805697,0,TRUE,BMNH 1862.11.1.18,juvenile,female,total length,1,,Last et al. 2010,Huveneers et al. 2007,reported measurements,TRUE,Length-weight relationship for Orectolobus ornatus used
Orectolobus,leptolineatus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Orectolobidae,0,flattened,benthic,88.7,,69.0973,20.3123,6.1203,11.6197,6.5638,9.757,8.87,14.9016,,17.6513,38.5845,,4374.0887976644,0,TRUE,MZB 18623,adult,male,total length,1,,Last et al. 2010,Huveneers et al. 2007,reported measurements,TRUE,Length-weight relationship for Orectolobus ornatus used
Orectolobus,leptolineatus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Orectolobidae,0,flattened,benthic,93.8,,74.0082,22.512,6.2846,13.4134,6.9412,10.5056,11.5374,16.2274,,20.167,40.334,,5121.00254463539,0,TRUE,,adult,mixed,total length,1,,Last et al. 2010,Huveneers et al. 2007,reported measurements,TRUE,Length-weight relationship for Orectolobus ornatus used
Rhincodon,typus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Rhincodontidae,0,fusiform,pelagic,975.36,880.17,801.13,213.331,14.537,198.794,162.013,,178.824,194.89,,179.703,495.39,,8199274.59832239,0,TRUE,,,,total length,1,,Gudger 1931,Hsu et al. 2012,mixed,TRUE,"It is not entirely clear how much of the modelled specimen is original. The specimen is largely based off of an individual collected in Florida in 1923, but had some parts reconstructed"
Rhincodon,typus,Chondrichthyes,Chondrichthyes,Orectolobiformes,Rhincodontidae,0,fusiform,pelagic,458,393,359.5,102.5,15.7,86.8,,64,,,,111,,,880000,0,TRUE,HUMZ 21529,,,total length,1,,Tomita et al. 2014,Tomita et al. 2014,reported measurements,FALSE,
Stegostoma,tigrinum,Chondrichthyes,Chondrichthyes,Orectolobiformes,Stegostomatidae,0,macruriform,benthic,73.2,,37.8444,11.712,5.2704,6.4416,5.3436,3.66,,,,9.882,,,,0,TRUE,,,,total length,52,,Dahl et al. 2019,,reported measurements,,
Stegostoma,tigrinum,Chondrichthyes,Chondrichthyes,Orectolobiformes,Stegostomatidae,0,macruriform,benthic,100.7,,52.6661,15.4071,7.049,8.3581,7.1497,4.6322,,,,13.091,,,,0,TRUE,,,,total length,6,,Dahl et al. 2019,,reported measurements,,
Acroteriobatus,variegatus,Chondrichthyes,Chondrichthyes,Rhinopristiformes,Rhinobatidae,0,flattened,benthic,67.2,,,15.6080604534005,7.80755667506297,7.80050377833753,,3.9984,,,,,23.76864,,1120,0,TRUE,,,,total length,1,,Wilson et al. 2020,Wilson et al. 2020,reported measurements,FALSE,pregnant female
Rhinobatos,cemiculus,Chondrichthyes,Chondrichthyes,Rhinopristiformes,Rhinobatidae,0,flattened,benthic,129,,110,35.83,16.92,18.91,,10,,,,,46.5,,6000,0,TRUE,FSB-Rhi-cem-01,,male,total length,1,,Rafrafi-Nouira et al. 2015b,Rafrafi-Nouira et al. 2015b,mixed,FALSE,
Rhynchobatus,djiddensis,Chondrichthyes,Chondrichthyes,Rhinopristiformes,Rhinidae,0,flattened,benthic,96.7,,80.7445,29.1067,15.6654,13.4413,,6.3822,,,,,,,4300,0,TRUE,RUSI 21209,juvenile,,total length,1,,Compagno and Smale 1986,Compagno and Smale 1986,reported measurements,FALSE,
Rhynchobatus,mononoke,Chondrichthyes,Chondrichthyes,Rhinopristiformes,Rhinidae,0,flattened,benthic,116.7,108.6477,100.9455,34.8933,18.2052,16.6881,9.1026,8.0523,17.2716,9.1026,,,53.4486,,7567.77218885439,0,TRUE,KAUM-I 80332,adult,male,total length,1,,Koeda et al. 2021,Gladston et al. 2018,mixed,TRUE,"Using length-weight equation for R. djiddensis. Cornea size treated as eye size because ""eye size"" appears to refer to entire orbit, whereas exposed eye is much smaller."
